creationDate,startDate,endDate,kcalBurned,milesCycled
2016-10-11 15:36:21 -0700,2016-10-11 06:52:27 -0700,2016-10-11 07:29:50 -0700,322.3,7.43601
2016-10-11 15:36:21 -0700,2016-10-08 07:03:06 -0700,2016-10-08 09:40:15 -0700,1405.5,29.7821
2016-10-11 16:54:02 -0700,2016-10-11 15:36:11 -0700,2016-10-11 16:25:49 -0700,306.9,6.98191
2016-10-16 10:53:47 -0700,2016-10-16 07:04:37 -0700,2016-10-16 10:45:33 -0700,2146.7,46.3939
2016-10-18 08:09:04 -0700,2016-10-18 07:16:29 -0700,2016-10-18 07:52:30 -0700,296,6.90281
2016-10-18 19:23:44 -0700,2016-10-18 15:42:50 -0700,2016-10-18 16:16:16 -0700,288.8,6.70795
2016-10-20 07:53:35 -0700,2016-10-20 07:11:53 -0700,2016-10-20 07:50:49 -0700,358.5,7.60049
2016-10-21 16:53:30 -0700,2016-10-21 15:06:40 -0700,2016-10-21 15:44:26 -0700,307.1,6.72759
2016-11-17 09:04:34 -0700,2016-11-05 07:09:01 -0700,2016-11-05 12:18:20 -0700,2190.2,47.7409
2016-11-17 09:04:34 -0700,2016-11-03 15:35:22 -0700,2016-11-03 16:01:05 -0700,182.2,4.33251
2016-11-17 09:04:34 -0700,2016-10-29 09:28:11 -0700,2016-10-29 10:05:40 -0700,243.3,5.51119
2016-11-17 09:04:34 -0700,2016-10-29 11:10:29 -0700,2016-10-29 11:40:54 -0700,302.9,5.93652
2016-11-17 09:04:34 -0700,2016-10-29 12:34:07 -0700,2016-10-29 13:28:00 -0700,384.1,8.69503
2016-11-17 17:44:01 -0700,2016-11-08 17:41:08 -0700,2016-11-08 18:09:17 -0700,186.8,4.35935
2016-11-17 17:44:02 -0700,2016-11-11 08:18:33 -0700,2016-11-11 12:50:26 -0700,1617.2,37.112
2016-11-22 09:11:39 -0700,2016-11-22 08:44:25 -0700,2016-11-22 09:08:45 -0700,155.4,4.59026
2016-11-29 16:29:33 -0700,2016-11-15 16:54:04 -0700,2016-11-15 17:16:49 -0700,199.4,4.38147
2016-12-01 16:32:29 -0700,2016-11-21 18:22:44 -0700,2016-11-21 19:10:29 -0700,177.6,4.58392
2016-12-10 12:26:47 -0700,2016-11-29 16:32:55 -0700,2016-11-29 16:52:14 -0700,161.6,4.36544
2016-12-10 12:26:47 -0700,2016-12-01 16:32:25 -0700,2016-12-01 16:54:22 -0700,162.1,4.40763
2016-12-10 12:26:47 -0700,2016-11-22 16:24:44 -0700,2016-11-22 16:46:58 -0700,154.1,4.45691
2016-12-10 13:19:44 -0700,2016-12-10 12:32:29 -0700,2016-12-10 13:06:55 -0700,163.6,4.48593
2016-12-20 09:10:19 -0700,2016-12-20 08:38:18 -0700,2016-12-20 08:59:59 -0700,140.5,4.46474
2016-12-27 09:05:11 -0700,2016-12-27 08:35:11 -0700,2016-12-27 08:56:46 -0700,144.5,4.4712
2017-01-02 13:04:07 -0700,2016-12-20 16:51:26 -0700,2016-12-20 17:11:36 -0700,146.4,4.3135
2017-01-02 13:37:49 -0700,2017-01-02 12:48:54 -0700,2017-01-02 13:03:54 -0700,127.4,2.18275
2017-01-07 12:18:56 -0700,2016-12-27 16:11:04 -0700,2016-12-27 16:30:41 -0700,140.5,4.32394
2017-01-07 12:18:56 -0700,2016-12-22 15:31:49 -0700,2016-12-22 15:57:15 -0700,140.1,4.37054
2017-01-12 13:38:35 -0700,2016-12-30 08:04:58 -0700,2016-12-30 14:32:47 -0700,1800.5,56.8538
2017-01-12 13:38:35 -0700,2016-12-29 15:32:48 -0700,2016-12-29 15:51:59 -0700,149.1,4.33357
2017-01-12 13:38:35 -0700,2017-01-02 13:14:38 -0700,2017-01-02 13:27:48 -0700,20.4,2.15255
