creationDate,startDate,endDate,kcalBurned,milesRun
2016-07-18 17:19:10 -0700,2016-07-18 17:07:39 -0700,2016-07-18 17:17:18 -0700,60.4355,0.61835
2016-07-19 08:41:54 -0700,2016-07-19 08:32:21 -0700,2016-07-19 08:41:31 -0700,49.2273,0.483477
2016-07-19 18:09:38 -0700,2016-07-19 18:00:07 -0700,2016-07-19 18:09:34 -0700,50.0981,0.461144
2016-07-20 08:34:47 -0700,2016-07-20 08:26:47 -0700,2016-07-20 08:34:27 -0700,48.2738,0.475685
2016-07-20 14:19:10 -0700,2016-07-20 14:11:08 -0700,2016-07-20 14:19:04 -0700,45.2443,0.437226
2016-07-20 14:46:35 -0700,2016-07-20 14:40:47 -0700,2016-07-20 14:46:25 -0700,37.6429,0.379098
2016-07-21 08:34:53 -0700,2016-07-21 08:24:55 -0700,2016-07-21 08:34:42 -0700,52.5928,0.540765
2016-07-21 15:45:34 -0700,2016-07-21 15:36:34 -0700,2016-07-21 15:45:25 -0700,45.7446,0.424725
2016-07-21 16:32:46 -0700,2016-07-21 16:22:47 -0700,2016-07-21 16:32:33 -0700,48.6271,0.47765
2016-07-24 20:12:51 -0700,2016-07-24 20:03:55 -0700,2016-07-24 20:09:36 -0700,37.8904,0.373142
2016-07-25 08:33:46 -0700,2016-07-25 08:22:15 -0700,2016-07-25 08:33:40 -0700,56.7151,0.570244
2016-07-25 15:45:13 -0700,2016-07-25 15:35:28 -0700,2016-07-25 15:44:58 -0700,49.16,0.447286
2016-07-25 17:06:39 -0700,2016-07-25 16:57:33 -0700,2016-07-25 17:05:29 -0700,93.9913,0.805168
2016-07-25 17:17:55 -0700,2016-07-25 17:07:32 -0700,2016-07-25 17:16:31 -0700,59.8544,0.602448
2016-07-26 08:45:11 -0700,2016-07-26 08:33:17 -0700,2016-07-26 08:41:25 -0700,49.9754,0.506787
2016-07-26 10:39:19 -0700,2016-07-26 10:16:54 -0700,2016-07-26 10:36:26 -0700,151.465,1.57824
2016-07-26 16:00:10 -0700,2016-07-26 15:53:10 -0700,2016-07-26 15:59:55 -0700,45.0132,0.458405
2016-07-27 15:05:18 -0700,2016-07-27 14:44:44 -0700,2016-07-27 15:03:43 -0700,126.759,1.25964
2016-07-28 11:06:46 -0700,2016-07-28 08:22:49 -0700,2016-07-28 08:31:14 -0700,46.3414,0.491266
2016-07-28 14:29:55 -0700,2016-07-28 14:24:16 -0700,2016-07-28 14:29:37 -0700,32.4358,0.29789
2016-07-29 08:47:03 -0700,2016-07-29 08:35:40 -0700,2016-07-29 08:44:17 -0700,52.0311,0.56625
2016-07-29 15:42:41 -0700,2016-07-29 15:22:44 -0700,2016-07-29 15:40:43 -0700,130.159,1.28116
2016-07-29 16:05:24 -0700,2016-07-29 15:57:14 -0700,2016-07-29 16:04:17 -0700,47.5221,0.475343
2016-07-29 21:13:36 -0700,2016-07-29 20:58:05 -0700,2016-07-29 21:13:27 -0700,91.9858,0.998457
2016-07-31 07:52:24 -0700,2016-07-31 07:43:23 -0700,2016-07-31 07:51:37 -0700,107.652,0.92054
2016-07-31 08:04:26 -0700,2016-07-31 07:53:27 -0700,2016-07-31 08:03:50 -0700,97.2304,0.907653
2016-07-31 11:29:38 -0700,2016-07-31 11:22:01 -0700,2016-07-31 11:28:48 -0700,41.1074,0.412608
2016-07-31 11:41:59 -0700,2016-07-31 11:35:11 -0700,2016-07-31 11:41:54 -0700,45.2012,0.477038
2016-07-31 13:42:11 -0700,2016-07-31 13:34:20 -0700,2016-07-31 13:41:26 -0700,42.0368,0.445392
2016-07-31 14:02:46 -0700,2016-07-31 13:54:05 -0700,2016-07-31 14:02:05 -0700,51.6232,0.533096
2016-07-31 15:21:42 -0700,2016-07-31 15:00:30 -0700,2016-07-31 15:08:46 -0700,58.4088,0.581401
2016-07-31 15:33:41 -0700,2016-07-31 15:24:56 -0700,2016-07-31 15:33:35 -0700,55.8322,0.560825
2016-08-01 08:33:16 -0700,2016-08-01 08:22:12 -0700,2016-08-01 08:29:51 -0700,50.5953,0.544084
2016-08-01 11:21:26 -0700,2016-08-01 11:19:30 -0700,2016-08-01 11:21:16 -0700,13.2162,0.117243
2016-08-01 15:46:31 -0700,2016-08-01 15:38:00 -0700,2016-08-01 15:44:52 -0700,56.1442,0.624351
2016-08-01 16:26:43 -0700,2016-08-01 16:17:02 -0700,2016-08-01 16:26:20 -0700,58.0571,0.592458
2016-08-01 20:50:59 -0700,2016-08-01 19:59:01 -0700,2016-08-01 20:49:53 -0700,314.634,3.28713
2016-08-02 06:52:08 -0700,2016-08-02 06:35:56 -0700,2016-08-02 06:50:29 -0700,179.029,1.5181
2016-08-02 08:34:32 -0700,2016-08-02 08:22:21 -0700,2016-08-02 08:34:26 -0700,51.2921,0.521408
2016-08-02 16:16:41 -0700,2016-08-02 15:49:39 -0700,2016-08-02 15:57:16 -0700,45.6249,0.457115
2016-08-02 16:58:21 -0700,2016-08-02 16:49:02 -0700,2016-08-02 16:58:03 -0700,59.0658,0.624586
2016-08-03 08:42:28 -0700,2016-08-03 08:32:51 -0700,2016-08-03 08:42:24 -0700,43.77,0.506209
2016-08-03 14:44:24 -0700,2016-08-03 14:37:19 -0700,2016-08-03 14:43:58 -0700,43.4959,0.437374
2016-08-03 15:24:42 -0700,2016-08-03 15:18:04 -0700,2016-08-03 15:24:12 -0700,42.4958,0.439922
2016-08-03 16:14:30 -0700,2016-08-03 16:05:48 -0700,2016-08-03 16:13:43 -0700,55.3338,0.542503
2016-08-03 16:37:10 -0700,2016-08-03 16:27:35 -0700,2016-08-03 16:36:20 -0700,55.6358,0.5448
2016-08-03 17:36:57 -0700,2016-08-03 17:14:56 -0700,2016-08-03 17:20:25 -0700,34.3387,0.341766
2016-08-03 17:59:17 -0700,2016-08-03 17:43:34 -0700,2016-08-03 17:58:47 -0700,114.266,1.09885
2016-08-04 06:57:12 -0700,2016-08-04 06:41:03 -0700,2016-08-04 06:56:05 -0700,191.096,1.62149
2016-08-04 08:34:39 -0700,2016-08-04 08:24:43 -0700,2016-08-04 08:32:35 -0700,55.2417,0.605895
2016-08-05 08:45:01 -0700,2016-08-05 08:36:08 -0700,2016-08-05 08:43:29 -0700,48.8496,0.499277
2016-08-05 15:59:20 -0700,2016-08-05 15:51:25 -0700,2016-08-05 15:58:45 -0700,50.9382,0.580824
2016-08-06 07:09:29 -0700,2016-08-06 06:52:23 -0700,2016-08-06 07:06:44 -0700,194.165,1.65683
2016-08-07 14:33:35 -0700,2016-08-07 14:02:09 -0700,2016-08-07 14:33:26 -0700,202.481,2.09327
2016-08-07 14:51:51 -0700,2016-08-07 14:46:12 -0700,2016-08-07 14:51:45 -0700,29.6551,0.309315
2016-08-08 08:33:14 -0700,2016-08-08 08:22:03 -0700,2016-08-08 08:29:46 -0700,51.7089,0.528619
2016-08-08 15:14:01 -0700,2016-08-08 15:06:54 -0700,2016-08-08 15:13:30 -0700,44.5696,0.419291
2016-08-08 15:56:23 -0700,2016-08-08 15:47:31 -0700,2016-08-08 15:55:21 -0700,53.2611,0.536317
2016-08-08 16:40:06 -0700,2016-08-08 16:22:53 -0700,2016-08-08 16:39:32 -0700,216.825,1.84882
2016-08-09 08:21:13 -0700,2016-08-09 08:11:35 -0700,2016-08-09 08:19:21 -0700,50.2204,0.527209
2016-08-09 13:08:03 -0700,2016-08-09 12:47:01 -0700,2016-08-09 13:05:42 -0700,122.789,1.20928
2016-08-09 16:01:02 -0700,2016-08-09 15:54:07 -0700,2016-08-09 16:00:23 -0700,44.6972,0.427826
2016-08-10 06:50:19 -0700,2016-08-10 06:35:00 -0700,2016-08-10 06:49:29 -0700,189.605,1.6106
2016-08-10 08:34:37 -0700,2016-08-10 08:24:38 -0700,2016-08-10 08:32:15 -0700,50.436,0.512272
2016-08-10 16:15:48 -0700,2016-08-10 16:06:46 -0700,2016-08-10 16:12:07 -0700,30.8401,0.30371
2016-08-11 08:42:39 -0700,2016-08-11 08:32:37 -0700,2016-08-11 08:40:29 -0700,50.2118,0.521487
2016-08-12 06:44:20 -0700,2016-08-12 06:26:43 -0700,2016-08-12 06:43:59 -0700,214.543,1.82095
2016-08-12 08:37:23 -0700,2016-08-12 08:28:09 -0700,2016-08-12 08:35:17 -0700,50.9894,0.51158
2016-08-13 07:49:33 -0700,2016-08-13 07:34:41 -0700,2016-08-13 07:49:28 -0700,85.1704,0.922891
2016-08-13 09:09:10 -0700,2016-08-13 08:58:56 -0700,2016-08-13 09:08:41 -0700,64.4086,0.625334
2016-08-13 10:11:16 -0700,2016-08-13 09:35:32 -0700,2016-08-13 10:11:12 -0700,216.019,2.27712
2016-08-13 18:28:58 -0700,2016-08-13 18:01:44 -0700,2016-08-13 18:16:13 -0700,86.1761,0.908051
2016-08-14 10:43:51 -0700,2016-08-14 10:34:24 -0700,2016-08-14 10:42:17 -0700,47.5665,0.462467
2016-08-14 10:58:46 -0700,2016-08-14 10:55:02 -0700,2016-08-14 10:58:42 -0700,21.5905,0.215163
2016-08-15 06:50:28 -0700,2016-08-15 06:30:48 -0700,2016-08-15 06:50:05 -0700,244.707,2.07802
2016-08-15 08:32:02 -0700,2016-08-15 08:22:20 -0700,2016-08-15 08:30:02 -0700,52.1425,0.53185
2016-08-15 15:58:45 -0700,2016-08-15 15:51:15 -0700,2016-08-15 15:58:41 -0700,46.9906,0.458709
2016-08-16 08:09:30 -0700,2016-08-16 08:01:02 -0700,2016-08-16 08:09:27 -0700,46.6194,0.455787
