address,neighborhood,listed_price,house_sqft,lot_sqft,n_bedrooms,n_bathrooms,date_seen
14556 20th Ave NE,Briarcrest,568000,1570,8245,3,2,8/18/19
15340 Stone Ave N,Parkwood,600000,1770,8595,3,1.75,8/18/19
14342 Wayne Pl N,Parkwood,590000,1550,5250,3,2,8/17/19
13339 11th Ave NE,Olympic Hills,585000,1980,7500,4,1.75,8/17/19
12503 14th Ave NE,Pinehurst,618000,1880,5111,4,1.75,8/17/19
10005 21st Ave NE,Morningside,579000,1780,6533,4,1.75,8/17/19
534 NE 89th St,Mapleleaf,589000,1500,6380,3,1.75,8/17/19
8848 Wallingford Ave N,Licton Springs,500000,1820,7476,3,1.5,8/11/19
2720 NE 103rd St,Meadowbrook,575000,2553,6000,4,2.25,8/11/19
3543 NE 88th St,Wedgwood,600000,1760,5100,2,1.75,8/11/19
705 N 100th St,Greenwood,500000,1550,5594,3,1,8/10/19
10502 N Park Avenue N,Greenwood,597000,1520,2790,3,1.75,8/3/19
2306 NE 135th St,Olympic Hills,625000,1670,10214,3,2,8/1/19
13047 25th Ave NE,Olympic Hills,615000,1750,8794,3,2,8/1/19
12054 8th Ave NE,Pinehurst,600000,1450,5600,3,1.5,8/1/19
9250 2nd Ave NW,Greenwood,550000,1218,6350,2,2,8/1/19
10710 C Whitman Ave N,Greenwood,550000,1700,2908,3,2,8/1/19
9211 9th Ave NW,Crown Hill,560000,1550,5418,3,2,7/28/19
12057 2nd Ave NE,Pinehurst,500000,950,6000,3,1,7/28/19
11743 22nd Ave NE,Victory Heights,585000,1550,6886,3,2,7/28/19
2034 NE 103rd St,Victory Heights,600000,1900,9570,3,1,7/28/19
11721 7th Ave NE,Pinehurst,600000,1130,7200,3,1.5,7/28/19
9703 20th Ave NE,Mapleleaf,550000,1450,5460,2,2,7/27/19
11720 8th Ave NE,Pinehurst,600000,1100,9212,2,1,7/27/19
4003 NE 135th St,Cedar Park,539000,880,6171,2,1,7/27/19
134 N 136th St,Broadview,550000,1600,8137,3,2,7/27/19
13739 1st Ave NW,Broadview,600000,1450,6534,3,2,7/27/19
6517 27th Avenue NW,Ballard,600000,900,4182,2,1,7/24/19
9202 20th Ave NE,Mapleleaf,600000,1390,5376,3,1.75,7/20/19
9527 Evanston Ave N,Greenwood,605000,1460,6973,3,1,7/20/19
513 NE 79th St,Mapleleaf,500000,1410,1924,2,1,7/14/19
11515 25th Ave NE,Victory Heights,580000,1389,7840,3,2,7/13/19
536 N 84th St,Greenwood,485000,770,6300,2,0.75,7/13/19
7041 35th Ave NE,Bryant,525000,900,1143,2,1,7/13/19
8225 17th Ave NE,Mapleleaf,650000,1460,7600,4,2.5,7/6/19
333 N 103rd St ,Greenwood,500000,820,3844,2,1,7/6/19
10317 Linden Ave N,Greenwood,525000,940,4114,2,1,7/6/19
